hc_drug_name
AB Kit 200mg+200mcg
Acliz 50mg
Acliz PLUS 
Aclo 100mg
Aclobet 0.05%
Aclobet 0.05%
Aclobet N 
Aclobet N 50mg+500mg+100Lac
Aclonac 100mg
Aclopain 100mg
Aclosol 0.05%
Aclovix 100mg
Acme's Cholera Saline IV
Acme's DNS IV
Acme's Dextrose DS IV
Acme's Dextrose Saline IV
Acme's Hartmann Solution
Acme's Milk of Magnesia
Acme's Milk of Magnesia Plus
Acme's Normal Saline IV
Acmecilin 125mg/5ml
Acmecilin 250 250mg
Acmecilin IV/IM 250 250mg
Acmecilin IV/IM 500 500mg
Acmegra 100 100mg
Acmegra 25 25mg
Acmegra 50 50mg
Acnecare Gel 500mg/100gm
Acnegel 
Acnesone 7.50%
Acnetrin 25mg/100gm
Acora 90mg
Acorex 15mg/5ml
Acorex 30mg
Acos 30ml
Acos 500mg
Acryth 125mg/5ml
Act 120mg/5ml
Act 500mg
Act 80mg/ml
Act Plus 500mg
Act-HIB 10 ug/dose
Actemra 80mg/4ml
Actemra 200mg/10ml
Actemra 162mg/0.9ml Vial
Actemra 400mg/20ml
Actidex 25mg
Actifast 10mg
Actilac
Actilyse 50mg
Actilyse 1mg/1ml
Actimom 
Actinase 125mg/5ml
Actinase 500mg
Action XR 665mg
Actisal 1mg/5ml
Actisal 1 1mg
Actisal 2 2mg
Activa 50mg
Activa 100mg
Active PLUS
Activit GOLD
Activit SILVER
Activit Z
Activit ZI
Actizen 10mg
Actizen 5mg/5ml
Actol 120mg/5ml
Actolin 2mg/5ml
Actolin 4 4mg
Actonel 5mg
Actose 30mg
Actrapid HM 40IU/ml
Actrapid HM 100IU/ml
Actrapid Penfill 100IU/ml
Actrim
Actrim 100mg+20mg
Actrim DS
Actulose
Acubis 2.5 2.5mg
Acubis 5 5mg
Acudipin 5mg
Acudipin Plus 5mg+50mg
Acumet 100 100mg
Acumet 50 50mg
Acunac 90mg/100ml
Acupain 20mg/ml
Acupain 10mg
Acupain 30 30mg
Acupain 30 30mg/ml
Acuren 25mg
Acuren 50mg
Acusan 50mg
Acusan Plus 
Acyvir 500mg
Acyvir 3%
ADS-10
Ad-All
Ad-All
Adaben Duo Gel 0.1%+2.5%
Adafil 10 
Adafil 20 
Adagel PLUS 
Adair 500mcg
Adalimab 40mg/0.8ml
Adam 33 20mg
Adam 33 5mg
Adapel 0.1%
Adarbi 40mg
Adarbi 80mg
Adcal D 
Adcovit 200ml
Adebrox 15mg/5ml
Adecard 6mg/2ml
Adecef 125mg/5ml
Adecef 500mg
Adecef DS 250mg/5ml
Adecin 500mg
Adegra 100 100mg
Adegra 50 50mg
Adegut 10mg
Adegut 5mg/5ml
Adelax 
Adempa 10 10mg
Adempa 25 25mg
Adetil 250mg
Adetil 500mg
Adexim 100mg/5ml
Adexim 200mg
Adflox 500mg
Adfovir 10mg
Adgar 0.1%
Adgar 0.3%
Adglim-1 1mg
Adglim-2 2mg
Adifex 120 120mg
Adinir 125mg/5ml
Adinir 300mg
Adinot 50mg
Adipal Plus 
Adiponil 120mg
Adiz 200mg/5ml
Adiz 200mg/5ml
Adiz 250 250mg
Adiz 500 500mg
Adlina-5 5mg
Adlinameg 
Adlinameg 
Adlock 10mg
Adlock 40mg
Adlon D 
Adlorin 5mg
Admira MR 30mg
Admira-80 80mg
Admox DS 500mg
Admox PFS 125mg/5ml
Adnix 100mg/5ml
Adnix 500mg
Adnor 3 3mg
Adocef 500mg
Adocef 125mg/5ml
Adocil 125mg/5ml
Adocil 500mg
Adonid 500 500mg
Adonid DS 100mg/5ml
Adora 125mg/5ml
Adora 125mg/1.25ml
Adora 1000 1000mg
Adora 500 500mg
Adorex 10mg
Adorex 5mg/5ml
Adorex 5mg/ml
Adovir 10mg
Adoxi 100 100mg
Adpas 15mg
Adrenaline 1mg/ml
Adribin 10 10mg/vial
Adribin 50 50mg/vial
Adrin 1mg/ml
Adrinor 1mg/ml
Adrinoxyl 2.5mg
Adrox 125mg/5ml
Adryl 10mg/5ml
Adtrizin 10mg
Aduvit
Aduvit
Advast
Advel 100mg/5ml
Advel 200mg
Advel 400mg
Advixa 40 40mg/0.8ml
Adze 400mg
Aenixit 
Aerodyl 5mg/5ml
Aerodyl 10mg
Aerodyl 20mg
Aerofen 1mg
Aerofen 1mg/5ml
Aeron 10mg
Aeron FT 5mg
Aeron FT 4mg
Aeronid 200mcg/Metered Inhalatio 
Aeronid 100mcg
Aeronid HFA 200mcg
Aeropac 67mg/ml
Aerophin 11.25mg/0.5ml
Aerovil 15mg/5ml
Aexidal 50mg
AFM 0.1%
AFM Plus
AFM-T 
Afatin 40mg
Afen 50 50mg
Afexa 120mg
Afexa 180mg
Afexa 30mg/5ml
Afinitor 5mg
Afinitor 10mg
Afix 100mg/5ml
Afix 200mg
Afix 400mg
Afix 200 200mg
Afix 400 400mg
Afix DS 200mg/5ml
Afixime 400mg
Afixime 25mg/ml
Afixime 100mg/5ml
Afixime 200mg
Afluzole 50mg
Afluzole 150mg
Afluzole 50mg
Afrin 1%
Afrin 0.025% 0.025%
Afrin 0.05% 0.05%
Afun 10mg/gm
Afun VT 200mg
Afuvin 500mg
AGP 75mg
Age M 
Age PLUS
Agedefy 
Aggra 100mg
Aggra 50mg
Aggra 25 25mg
Aggreno 
Aglip 12.5mg
Aglip 25mg
Agorest 25mg
Agotin 25mg
Agoxin 0.25mg
Agrippal S1
AH 200mg/5ml
AH 400 400mg
Aid 100 100mg
Aid 50 50mg
Aid SR 100mg
AirPro 1mg/5ml
Aire 1mg
Aire 2mg
Airflow 10mg
Airmont 10mg
Airnaaf 1mg/5ml
Airup 10mg
Airup 5mg
Airway 10 
Airway 4 
Airway 5 
Ajardy 10mg
Ajardy 25mg
Ajardy M 
Ajuben 12 
Ajuben 6 
Ajwa 10 1
Akarvia 200mg
Akicin 100mg/2ml
Akicin 500mg/2ml
Aknil Gel .05gm/100gm
Aknill
Aktivex 250 
Aktivex 500 
ALERGIX MR 
Al DS 400mg
Alaclov 500mg
Alacot 0.1% 
Alacot DS 
Alacot Max 
Aladay 0.1%
Aladay DS 0.2%
Aladay MAX 0.7%
Aladay Max 700mg/100ml
Alafree 30mg/5ml
Alafree 120mg
Alafree 180 180mg
Alagra 30mg/5ml
Alagra 120mg
Alagra 180mg
Alagra 30mg
Alagra 60mg
Alanil 30mg/5ml
Alanil 120 120mg
Alanil 180 180mg
Alarex 10mg
Alarex 5mg/5ml
Alargol 10mg
Alargol 5mg/5ml
Alarid 0.025%
Alarid 1mg
Alarid 1mg/5ml
Alaron 10mg
Alaron 5mg/5ml
Alartn 5mg/5ml
Alarup 10mg
Alat 10mg
Alater 10mg
Alatin 10mg
Alatrol 2.5mg/ml
Alatrol 5mg/5ml
Alatrol 10mg
Alaxen 0.5mg
Alaxen 0.25mg
Alba 400mg
Albafen 10mg
Albamax DS 400mg
Albaplex
Albasine 30mg+10mg
Albatab
Albazol DS 400mg
Alben 400mg
Alben 200mg/5ml
Alben DS 400mg
Albenda DS 400mg
Albendazole 400mg
Albendazole 200mg/5ml
Albendol 400mg
Albendol 200mg/5ml
Albendox 400mg
Albengen DS 400mg
Albentas 400mg
Albest 400mg
Albezen 400mg
Albezole 400mg
Albicon DS 400mg
Albin DS 400mg
Albipen-V 125mg/5ml
Albiquin 300mg
Albizox 100mg/5ml
Albol DS 400mg
Albrex 400mg
Albumin Human 20%
Alburx 25% 
Albutein 25% 
Albutein 25% 
Albutein 5%
Albutein 5%
Albutrim 
Albutrim DS 
Alcadin 0.25%
Alcafta 0.25%
Alcavir 0.5mg
Alcefen 100 100mg
Alcet 5mg
Alcet 500mcg/ml
Alchek
Alchek DS .2gm/100ml
Alclor 125mg/1.2ml
Alclor 125mg/5ml
Alcofen 50mg
Alcofen SR 100mg
Alconil Mouthwash 
Alcot 800mg+160mg
Alcot
Alcot DS
Alda 200mg/5ml
Alda DS 400mg
Aldaben 200mg/5ml
Aldaben DS 400mg
Aldactone 25mg
Aldes-DS 400mg
Aldew 400mg
Aldex 200mg/5ml
Aldex DS 400mg
Aldin DS 400mg
Aldoben DS 400mg
Aldocort 0.10mg
Aldomet 250mg
Aldonist 25mg
Aldopa 25mg+250mg
Aldopa 10mg+100mg
Aldorin 50mg
Ale DS 400mg
Alecensa 150mg
Alen D 
Alendon 10mg
Alendon 70mg
Alentin 200mg
Alentin DS 400mg
Alenvir 25 25mg
Alercon 0.1%
Alercon
Alercon DS 0.2gm/100ml
Alerest 4 4mg
Alerfast 30mg/5ml
Alerfast 120mg
Alerfex 30mg/5ml
Alerfex 120mg
Alerfex 180mg
Alergin 5mg/5ml
Alerjess 2mg/5ml
Alerjess 4mg
Alermet 5mg/5ml
Alermet 10mg
Alert 10mg
Alertadin 5mg
Alervil 15mg/5ml
Alestin 10mg
Alestin 5mg/5ml
Alestor 5mg
Aletrin 10mg
Aleva 10mg
Alexa 40 40mg/.4ml
Alexa 60 60mg/.4ml
Alexa 80 80mg/.8ml
Alexin 500mg
Alexin 250mg
Alexin 500mg
Aleze 10mg
Aleze 5mg/5ml
Alfacort 40mg/ml
Alfasin XR 10mg
Alfavir 25mg
Alfex 50ml
Alfex 120mg
Alfil
Alfixim 200mg
Alfixim 400mg
Alfixim 100mg/5ml
Alflam 100mg/5ml
Alflam 400 400mg
Alfol TR 
Alfradin 500mg
Alfradin DS 250mg/5ml
Alfumax ER 10mg
Alfux 500mg/250mg
Alfux 125mg/5ml
Algaba 50mg
Algaba 75mg
Algaba 150mg
Algecal 500mg+200IU
Algecal D 500mg+200IU
Algecal DX 600mg+400IU
Algerd 100mg+500mg/5ml
Algeum-D FC 500mg+200IU
Algeum-DX 600mg+400 IU 
Algex 250mg+400mg
Algex 
Algicar Plus 
Algicid 100mg+500mg
Algicid 100mg+500mg/5ml
Algicid DX 
Algicid Plus 
Algicon 100mg+500mg
Algicon (100mg+500mg)/5ml
Algin 10mg/5ml
Algin 5mg/2ml
Algin 50mg
Algirex 120mg
Alairex 60mg
Alairex 90mg
Algisum 200ml
Algisum Max 500mg+267mg+160mg
Algita D 500mg+200IU
Algita DX 600mg+400IU
Algrofin 250mg
Alia 5 5mg
Alice 12 12mg
Alice 6 6mg
Alice Lotion 500mg/100gm
Alimta 500mg
Alimta 100mg/vial
Alin 150mg
Alinix 100mg/5ml
Alinix 500 500mg
Alistin 600mg
Alivio 250mg
Alivio 1%
Alivio Extra 30%+10%+4%
Alijen 0.025%
Alkafen
Alkamax 5mg+30mg/100ml
Alkamin 2mg/5ml
Alkanon 500mg
Alkanon 750mg
Alkaparol 120mg/5ml
Alkatrim (200mg+40mg)/5ml
Alkazol 200mg/5ml
Alken 5mg+30gm/100ml
Alkenib 250mg
Alkurin 5gm+30gm/100m
Allbeevit
Allbeevit-M
Alleloc
Alleloc DS 0.2%
Allercet 5mg/5ml
Allercet 10mg
Allergan 5mg/5ml
Allerkit 1mg/5ml
Allerkit-E 0.025%
Allermine 2mg/5ml
Allernil 5mg/5ml
Allernil 10mg
Allertin 20mg
Allertin OS 2.5mg/ml
Allet 1mg/ml
Allet DS 0.2gm/100ml
Allion
Allion Gold
Allphen 5mg/5ml
Allygest 5mg
Allynol 5mg
Almasil MS 
Almasil MS 
Almasil MT 
Almetil 5mg
Almex 200mg/5ml
Almex 400mg
Almigut 10mg
Almin 200mg/5ml
Almin 400mg
Almitan 6.5mg
Almoxil 125mg/5ml
Almoxil 250mg
Almoxil 500mg
Alneed
Alneed Gold 
Alneed PLUS 
Alodia 25mg
Alodia 12.5mg
Alodoben DS 400mg
Alofen 100mg
Aloglip 6.25mg
Aloglip 12.5 mg
Aloglip 25mg
Alona 100mg
Alopin 5mg
Alor
Aloran 5mg
Aloric 100 100mg
Aloten 5/25 5mg+25mg
Aloten Forte 5mg+50mg
Aloton 5mg
Alovit BZ
Alovit Gold
Aloxif 60mg
Alpam 0.25mg
Alpam 0.5mg
Alpara-C 500mg+65mg
Alpatin 0.44mg
Alphagan P 0.15%
Alphalok 1mg
Alphalok 2mg
"Alphalok XP 2,5mg"
Alphalok XP 5mg
Alphapress 1mg
Alphapress 2mg
Alphapress XR 5mg
Alphapress XR 2.5mg
Alphin 200mg/5ml
Alphin DS 400mg
Alphin DT 400mg
Alpoten 5ml
Alprax 0.25mg
Alprax 0.5mg
Alprax XR 2mg
Alprax XR 1mg
Alprazolam 0.25mg/0.50mg
Alpro 400mg
Alprocotin 0.5mg
Alproxen 250 250mg
Alproxen 500 500mg
Alrin 60mg
Alsium 10mg
Alsporin 250mg
Alsporin 500mg
Altadin 0.25%
Altapan 10mg
Altason 50mg
Alterin 50mg
Alterin TR 100mg
Altex 40mg/5ml
Altex 20 20mg
Alton 40 40mg/vial
Alton 40 40mg
Altorec 10mg
Altovas 10mg
Altovas 20mg
Altrax 40mg/5ml
Altrip 6.25mg
Altrum Gold
Altrum Silver
Alucil S 
Aluctin 30mg
Alugel 250mg+400mg
Aluric 100mg
Alurol 100mg
Alavstin 10mg
Alvastin 5mg/5ml
Alve 60mg
Alvenor 450mg+50mg
Alvenor 900mg+100mg
Alveofact 45mg/ml
Alverate 60mg
Alverin 60mg
Alvit Gold 
Alvita 
Alvital
Alvolex
Alysa 5mg
Alzed 200mg/5ml
Alzed 400mg
Alzed 400 400mg
Alzith 250mg
Alzith 500mg
Alzith 200mg/5ml
Alzolam 0.5 0.5mg
Alzolam SR 1 1mg
Alzolux DS 400mg
AM 200mg/5ml
AM 500mg
AMX 125mg/5ml
AMX 500mg
AMX 250mg
AMX DS 250mg/5ml
Amacid Plus 
Amantril 100mg
Amarin 45.5mg
Amarin 15mg/5ml
Amarin 22.7mg
Amaryl 1 1mg
Amaryl 2 2mg
Amaryl 3 3mg
Amaryl 4 4mg
Amaryl M 1 1mg+500mg
Amaryl M 2 2mg+500mg
Amason 0.5mg
Ambeecal 1250mg
Ambeecal-D 500mg+200IU
Ambeelox 500mg
Ambeet 15mg/5ml
Ambeet 75mg
Ambeexin 125mg/1.2ml
Ambeexin 125mg/5ml
Ambeexin 250mg
Amber 10mg
Amber 5mg
Ambix 15mg/5ml
Ambocus 6mg/ml
Ambokof 6mg/ml
Ambokof 15mg/5ml
Ambolin 6mg/ml
Ambolin 15mg/5ml
Ambolos 15mg/5ml
Ambolyt 15mg/5ml
Ambolyt 6mg/ml
Amboral 15mg/5ml
Amboral 6mg/ml
Ambosil 15mg/5ml
Ambosil 6mg/ml
Amboten 15mg/5ml
Amboten PD 6mg/ml
Amboxol 6mg/ml
Amboxol 15mg/5ml
Ambozin 15mg/5ml
Ambozin SR 75mg
Ambrisan 5mg
Ambrocod 15mg/5ml
Ambrogen 15mg/5ml
Ambromax 15mg/5ml
Ambronaaf 15mg/5ml
Ambronil 15mg/5ml
Ambronil 6mg/5ml
Ambrop 15mg/5ml
Ambrosia 15mg/5ml
Ambrosol 15mg/5ml
Ambrosol SR 75mg
Ambrotil 15mg/5ml
Ambroton 15mg/5ml
Ambrotus 15mg/5ml
Ambrox 15mg/5ml
Ambrox 6mg/ml
Ambrox SR 75mg
Ambroxol 15mg/5ml
Ambroxol SR 75mg
Ambryl 6mg/ml
Ambryl SF 15mg/5ml
Ambuterol 5mg/5ml
Amcef 200mg
Amcef 400mg
Amcef 100mg/5ml
Amdin 10mg
Amdin 5mg
Amdin PLUS 
Amdocal 10 10mg
Amdocal 5 5mg
Amdocal PLUS 
Amdocal Pro 5mg+2.5mg
Amdoper 5mg
Amdopril 10mg+20mg
Amdopril 2.5mg+10mg
Amdopril 5mg+10mg
Amdopril 5mg+5mg
Amdova 5mg+10mg
Ameb 135mg
Amekast 10 10mg
Amekast 4 4mg
Amekast 5 5mg
Amela Tropical
Amelex 500mcg+10mg
Ameloss 5 5mg
Ametrol VT
Amezol 200mg/5ml
Amezol 400mg
Amfrad 250mg
Amfrad 125mg/5ml
Amfrad 500mg
AmiClean 7.5mg
AmiClean 15mg
AmiCoxib 120 120mg
Amibac 100mg/2ml
Amibac 500mg/2ml
Amicard PLUS
Amiclo 12.5mg+5mg
Amicoxib 90mg
Amidol 370mg/50ml
Amidol 300mg
Amifen 50mg/5ml
Amifen 500mg
Amifex 120 120mg
Amifex 60 60mg
Amiflox 250mg
Amiflox 500mg
Amiflox 750mg
Amiflox DS 250mg/5ml
Amika 500mg/2ml
Amikacin 500mg/2ml
Amikast 10 10mg
Amikast 5 5mg
Amikin 100mg/2ml
Amikin 500mg/2ml
Amilac IV 5%
Amilax
Amilin 10mg
Amilin 25mg
Amilin Plus 12.5mg+5mg
Amimax 100mg/2ml
Amimax 500mg/2ml
Aminomax 7%+10%
Aminomax Gold 5%
Aminomix 7%+10%
Aminomix 5%
Aminophylline 100mg
Aminophylline 125mg/5ml
Aminophylline 100mg
Aminophyllinum Retard 350mg
Aminoplex 5%
Aminosin Plus 10%
Aminosol 5 IV 5%
Aminosol Vit
Aminosol Gold IV 10%
Aminosteril N-Hepa 8%
Amiodarone Hameln 150mg
Amiphin 2mg
Amiphin 1mg
Amipride 50mg
Amipride 100mg
Amiquin 400mg
Amirid 400mg
Amiron 7.5mg
Amiron 15mg
Amiron 30mg
Amisol Gold 7%+10%
Amisol IV 5%
Amisure 5mg/2ml
Amit 10mg
Amit 25mg
Amitip 10 10mg
Amitip 25 25mg
Amitryl 10 10mg
Amival
Amival F
Amixium 20mg
Amizide 5mg+50mg
Amlevo 2.5mg
Amlevo 5mg
Amlex 5%
Amlip 5mg+10mg
Amlo 5mg
Amlobet 5/50 5mg+50mg
Amlocard 10mg
Amlocard 5mg
Amlocard PLUS 5/25 5mg+25mg
Amlocom 5mg+25mg
Amlodipine 5 5mg
Amlophil 10 10mg
Amopin 5mg
Amlosartan 10mg+160mg
Amlosartan 5mg+160mg
Amlosartan 5mg+80mg
Amlosin 5mg
Amlosin PLUS 5mg+25mg
Amlosun 5mg
Amlotab 10mg
Amlotab 5 5mg
Amloten 5mg+25mg
Amloten 5mg+50mg
Amlovas 10mg
Amlovas 5mg
Amlovas PLUS 
Amlovas VS 10/160 
Amlovas VS 5/80 
Amlowide 5mg
Amlozep 5/10 5mg+10mg
Amlobet 50mg/100gm
Amobin 200mg/100gm
Amobin 200mg/5ml
Amobin 200mg
Amobin 400mg
Amocal 10mg
Amocal 5mg
Amocal AT 5/50 5mg+50mg
Amocal BZ 5/10 5mg+10mg
Amocap 250mg
Amocap 500mg
Amocil 125mg/5ml
Amocil 250mg
Amocil 500mg
Amocin 125mg/5ml
Amocin 250mg
Amocin 500mg
Amoclav 1.2 1gm+200mg
Amoclav 125/31 
Amoclav 1gm 125/31 
Amoclav 375 250mg+125mg
Amoclav 600
Amoclav 625
Amoclav FORTE
Amodis 400mg
Amodis 500mg
Amodis IV 500
Amofast 5mg
Amofast Plus
Amogit 400mg
Amorox 15mg/5ml
Amotid 125mg/1.2ml
Amotid 250mg
Amotid 500mg
Amotid CL
Amotid F
Amotrex 200mg/5ml
Amotrex 400
Amotrex IV 5mg/ml
Amovast 5mg+10mg
Amox 125mg/1.2ml
Amox 125mg/5ml
Amox 250mg
Amox 500mg
Amoxguard 500
Amoxic 125mg/5ml
Amoxic 250mg
Amoxicap 250mg
Amoxicap 375
Amoxicon 125mg/5ml
Amoxicon 250mg
Amoxicon 500mg
Amoxikil 500mg
Amoxima 125mg/5ml
Amxipan 250mg
Amoxipan 500mg
Amoxipan 125mg
Amoxizen 125mg/5ml
Amoxizen 250mg
Amoxizen DS 500mg
Amoxon 125mg/1.2ml
Amoxon 125mg/5ml
Amoxon 250mg
Amoxon 500mg
Amoxycillin 250mg
Ampexin 250mg
Ampexin 500mg
Ampi cap 250mg
Ampil 5mg
Ampil Plus 5/25
Ampimet 250mg
Ampimet 500mg
Ampimet DS 125mg/5ml
Ampirex 125mg/5ml
Ampirex 500mg
Ampirex 250mg
Ampol 500mg
Ampol Plus 
Ampol XR 665mg
Ampre 5mg
Ampre Plus 5mg+25mg
Ampress 5mg
Ampress Plus 
Amsiv 15mg/5ml
Amtinol 5mg
Amtinol Plus 5mg+50mg
Amtylin 10mg
Amtylin 25mg
Amucef 400mg
Amucef 200mg
Amucef 100mg/5ml
Amupime 500mg/vial
Amuran 150mg
Amynil 1mg
Amynil 2mg
Amzith 200mg/5ml
Amzith 500mg
Amzith 250mg
Anabolin 25mg/ml
Anacaine HC 
Anacare 1mg
Anacort 100mg/vial
Anadol 100mg
Anadol 100mg/2ml
Anadol 50mg
Anadol SR 100mg
Anafen 400mg
Anaflex 10%
Anaflex 250 250mg
Anaflex 500 500mg
Anaflex Max 375mg+20mg
Anaflex Max 500mg+20mg
Anaflex SR 500mg
Anafranil 25mg
Analac 10mg
Analac 30mg/ml
Analac 60mg/2ml
Analgen 100mg
Analor 10mg
Analpain 120mg/ml
Analpain 80mg/ml
Analpain 500mg
Anamet 200mg/5ml
Anamet 400mg
Anamol 120mg/5ml
Anamol 500mg
Anapol 120mg/5ml
Anapol 500mg
Anapol 500mg+65mg
Anapol Plus 500mg+65mg
Anapril 65mg
Anapril 5mg
Anaprox 20mg+500mg
Anaroxyl 2.5mg
Anaroxyl 5mg/ml
Anasec 20mg
Anasec 20mg
Anasec 40mg/vial
Anastrol 1mg
Anaxyl 500mg/5ml
Anaxyl 500mg
Ancef 100mg/1.2ml
Ancef 125mg/5ml
Ancef 250mg
Ancef 500mg
Ancef Forte 250mg/5ml
Ancid DS Plus 
Ancid Plus 
Ancipro 250mg
Ancipro 500mg
Ancipro 750mg
Ancliz
Anclog 75mg
Anclog PLUS 75mg+75mg
Ancoc 250mg
Ancoc 500mg
Ancoc PFS 125mg/5ml
Ancopan 20mg
Ancopan 10mg
Ancor 10 10mg
Ancor 2.5 2.5mg
Ancor 5 5mg
Ancor A 2.5/5 
Ancor Plus 2.5
Ancor Plus 5 
Ancotil 3mg
Andep 50mg
Andep 100mg
Andep 25 25mg
Andepram 10mg
Andepram 5 5mg
Andriol TestoCaps 40mg
Androcap 40mg
Anefer 100mg/5ml
Anefer 200mg/10ml
Anema Saline 
Aneron 50mg/5ml
Anestho IV 0.5gm 500mg
Anestho IV 1gm 1gm
Anet 10mg
Anet 5mg/5ml
Anetol 50mg
Anexate 0.5mg/5ml
Anfasil 50mg/5ml
Anfasil 150mg
Anfasil 50mg
Anfenac 1mg/ml
Anflu 500mcg+10mg
Anfree 0.5mg+10mg
Angela 500mcg+1mg
Angenta 500mcg+10mg
Angesic 10mg
Angical 50 5mg+50mg
Angicard 0.5mg
Angifix 20 20mg
Angilat 25 25 mg
Angilat 50 50mg
Angilock 100 100mg
Angilock 25 25mg
Angilock 50 50mg
Angilock PLUS 12.5 mg+100mg
Angilock PLUS 25mg+100mg
Angilock PLUS 12.5mg+50mg
Angimet 20mg
Angimet MR 35mg
Angimil 40mg
Angimil 80mg
Angimil SR 240mg
Angin 75mg
Anginox 20mg
Anginox MR 35mg
Angipro 50mg
Angirid MR 35mg
Angist SR 2.6mg
Angitan 50mg
Angitan Plus 12.5mg+50mg
Angiten 25mg
Angitrim 20mg
Angitrim SR 35mg
Angivas 20mg
Angivas MR 35mg
Angivent MR 35mg
Angyr 250mg
Angyr 500mg
Anib 40mg
Anil 5mg
Anilic 200mg
Animet 150mg+500mcg+22.5mg
Anin 50mg
Anin 50 Plus 12.5mg+50mg
Aniron IV 100mg/5ml
Anitid 150mg
Anitid 75mg/5ml
Ankof 
Anleptic 100mg/5ml
Anleptic CR 200mg
Anlet 75mg
Anlet PLUS 75mg+75mg
Anlev 500mg
Anobac 150mg
Anobac 300mg
Anodyne 75mg+20mg/2ml
Anodyne 1mg/ml
Anodyne 50mg
Anodyne 1% 1%
Anodyne MR 100mg
Anodyne Plus
Anodyne SR 100mg
Anofer 100mg/5ml
Anol 50mg
Anolol 100mg
Anolol 50mg
Anorel 
Anosea 50mg
Anosea Plus 
Anosil
Anotic 500mcg+10mg
Anpar 1%
Anplat 75mg
Anpress F/C 500mcg+10mg
Anquil 15mg
Anquil 15mg/3ml
Anquil 7.5mg
